,product_name,package_size,suppression_used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-medicaid Amount Reimbursed
0,.12% CHLOR,64,0,41085359.59,81669.0,1092399.5,1091230.3599999999,1169.1399999999999
1,0.12% CHLO,72,0,74783.0,562.0,13868.35,6498.35,7370.0
2,0.15% KCL,0,0,1956724.0,1351.0,104761.01000000001,7431.26,97329.75
3,0.25 ACETI,8,0,151750.0,68.0,1793.88,1784.28,9.6
4,0.25% ACET,20,0,381200.0,141.0,5334.59,5334.59,0.0
5,0.30% KCL,0,0,13001.0,14.0,13.83,13.83,0.0
6,0.4% LIDOC,70,0,1057.5,139.0,1642.8400000000001,323.19,1319.65
7,0.45% SODI,10,0,277958.0,213.0,2052.42,2052.42,0.0
8,0.8% LIDOC,82,0,1422.5,261.0,1791.0500000000002,663.74,1127.31
9,0.9% SODIU,1898,0,140481975.0,141892.0,18323758.56,6103586.97,12220171.59
10,10% DEXTRO,30,0,273420.5,216.0,5571.860000000001,4550.77,1021.09
11,10% TRAVAS,23,0,6929250.96,2236.0,1239529.74,1239529.74,0.0
12,12 HOUR NA,110,0,9284.0,349.0,4361.929999999999,3762.5899999999997,599.34
13,15% CLINIS,12,0,8130882.79,3177.0,1605733.94,1605733.94,0.0
14,1G/50ML CE,164,0,78477.0,1519.0,11346.41,8667.33,2679.08
15,20% PROSOL,12,0,1477659.0,1107.0,243863.04,243863.04,0.0
16,20MEQ KCL/,27,0,3100.0,89.0,653.3699999999999,653.3699999999999,0.0
17,20MEQ POTA,68,0,107203.0,84.0,351.08,351.08,0.0
18,2G/50ML CE,164,0,67314.5,851.0,37725.34,37709.56,15.78
19,3 DAY VAGI,18,0,2406.283,109.0,1996.5300000000002,1996.5300000000002,0.0
20,3% SODIUM,29,0,1542983.05,1844.0,1072072.8399999999,1072072.8399999999,0.0
21,5% DEXTROS,936,0,9876855.7,15589.0,1495494.0300000003,267021.05,1228472.98
22,5% SODIUM,26,0,180536.54499999998,290.0,134491.03999999998,134491.03999999998,0.0
23,506070% DE,12,0,11577692.46,7940.0,3839322.9299999997,3839322.9299999997,0.0
24,70% DEXTRO,100,0,3044477.2800000003,2922.0,1719134.21,1719134.21,0.0
25,8 HOUR ER,213,0,88161.0,1259.0,19043.89,19043.89,0.0
26,8.4% SODIU,4,0,2720.0,12.0,2649.09,2649.09,0.0
